image,land_mask,damage_mask,event
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000001.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000001.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000001.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000002.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000002.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000002.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000003.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000003.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000003.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000004.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000004.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000004.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000005.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000005.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000005.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000006.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000006.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000006.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000007.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000007.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000007.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000008.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000008.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000008.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000009.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000009.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000009.png,noto_peninsula_japan_2024
noto_peninsula_japan_2024/images/noto_peninsula_japan_2024_000010.png,noto_peninsula_japan_2024/land_masks/noto_peninsula_japan_2024_000010.png,noto_peninsula_japan_2024/damage_masks/noto_peninsula_japan_2024_000010.png,noto_peninsula_japan_2024
